Unnamed: 0,表ＲＭ－１－５【市】,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(シートタイプ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,分,,,,,,位,,,,,,,,,,,,,,,,,,,,,,,,［ｍ］,,,,,,,,,,,,,,,,,,,,,［ｍ２］,,,,,,,,,,,,,,,,,,,,,,,,,,工,,,,,,,
,,,,,,,,,,径,,,,,,,30厚 40厚,,,,,,,,,,50厚,,,,,100幅 125幅 150幅 200幅 250幅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,他,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,［人］,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,5.0,,,,,,1,.,,,,,－,,,,,－,,,,,3.0,.,,6.0,.,,－,,,,－,,,－,,,,－,,,,0.0,.,2.0,,1.0,2.0,,,,,,,,,,,,,0.0,.,7.0,3.0,,,,0,.,2.0,6.0,,,,
,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,8,,,5,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,, ,,,,,,
,,,,,,,,,,,,,,,,,1, ,,,,,,,,,,,,,,,,,,,,,－,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,7.0,6.0,,,,0,,2.0,7.0,,,,
,,,,,,,,,,2,0.0,,,,,,,3,,,,,－,,,,,－,,,,,3.0,.,,6.0,.,,,,,,－,,,－,,,,－,,,,0.0,.,4.0,,1.0,2.0,,,,,,,,,,,,,,.,,,,,,,.,,,,,,
,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,9,,,9,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1, ,,,－,,,,－,,,,,,4.1,,,,7.4,,,－,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.080 0.098,,,,,,,0.029 0.035,,,,,,,,,
,,,,,,,,,,2,5.0,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,－,,,－,,,,－,,,,0.0,.,7.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,, ,,,1.03,,,,－,,,,,,4.6,,,,－,,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,3,2.0,,,,,,,－,,,,,,,,,,,,,,,,,,,,,,,,,－,,,－,,,,－,,,,0.0,.,8.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,１,,,,,,,,,,,,,,,,,,,,,
冷,,,,,,,,,,,,,,,,,,,,,1.03,,,,－,,,,,,4.7,,,,－,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,式,,,,,0.106 0.116 0.131,,,,,,,0.036 0.039 0.043,,,,,,,,,
水,,,,,,,,,,4,0.0,,,,,,,－,,,,,,,,,,,,,,,,,,,,,,,,,－,,,－,,,,－,,,,0.0,.,0.0,,1.0,2.0,,,,,,(,,,,,,,,,,,,,,,,,,,,,
,,,,,,,屋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
・,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(,,,,,,,,,,,,,,,,,,,,,
冷,,,,,ポ,,内,,,5,0.0,,,,,,,,,,1.03,,,,－,,,,,,4.9,,,,－,,,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,
温,,,,,リ,,露,,,,,,,,,,,－,,,,,,,,,,,,,,,,,,,,,,,,,－,,,－,,,,－,,,,0.0,.,5.0,,1.0,2.0,１,,,,,材,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,料,,,,,,,,,,,,,,,,,,,,,
,,,,,,,出,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,式,,,,,,,,,,,,,,,,,,,,,,,,,,
水,,,,,ス,,,,,,,,,,,,,,,,1.03,,,,－,,,,,,5.2,,,,－,,,9.5,,,,,,,,,,,,,,,,,,,,,,(,,,,,費,,,,,,,,,,,,,,,,,,,,,
管,,,,,チ,一,,,,6,5.0,,,,,,,－,,,,,,,,,,,,,,,,,,,,,,,,,－,,,－,,,,－,,,,0.0,.,1.0,,1.0,2.0, ,,,,,＋,,,,,,,,,,,,,,,,,,,,,
(,,,,,レ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,材,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,雑,,,,,,,,,,,,,,,,,,,,,
 ,,,,,ン,般,,,,,,,m,,,,,,,,1.03,,,,－,,,,,,5.4,,,,－,,,－,,,,,,,,,,,,,,,,,,,,,,料,,,,,材,,,,,0.144 0.175,,,,,,,0.046 0.052,,,,,,,,,式
膨,,,,,,居,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,費,,,,,,,,,,,,,,,,,,,,,,,,,,
張,,,,,フ,,,,,8,0.0,,,,,,,－,,,,,,,,,,,,,,,,,,,,,,,,8.0,.,,,－,,,,－,,,,0.0,.,6.0,,1.0,2.0,,,,,,料,,,,,,,,,,,,,,,,,,,,,
,,,,,,室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,7,,,,,×,,,,,,,,,,,,,,,,,,,,,,,,,,
管,,,,, ,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,、,,,,,,,,,,,,,,,1.03,,,,－,,,,,,5.9,,,,－,,,－,,,,,,,,,,,,,,,,,,,,,, ,,,,,費,,,,,,,,,,,,,,,,,,,,,
を,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,0.0,0.0,,,,,,－,,,,,,,,,,,,,,,,,,,,,,,,9.0,.,,,－,,,,－,,,,0.0,.,6.0,,1.0,2.0,.,,,,5.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
含,,,,,ム,廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,8,,,,,),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,
,,,,,,下,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,,,,,,,,,,,,,,,,,,
む,,,,,,,,,,,,,,,,,,,,,1.03,,,,－,,,,,,6.3,,,,－,,,－,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,0.211 0.244,,,,,,,0.059 0.065,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,3.0,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,2.0,5.0,,,,,,－,,,,,,,,,,,,,,,,,,,,,,,,1.0,1,.,,－,,,,－,,,,0.0,.,7.0,,1.0,2.0,,,,,,.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,9,,,,,,,,,,),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1.03,,,,－,,,,,,6.8,,,,－,,,－,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,5.0,0.0,,,,,,－,,,,,,,,,,,,,,,,,,,,,,,,1.0,2,.,,－,,,,－,,,,1.0,.,7.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,2,0.0,0.0,,,,,,－,,,,1.0,.,3.0,,,,－,,,,,7.0,.,,,－,,－,,,,－,,1.0,1,.,,,－,,,,1.0,.,7.0,,1.0,2.0,,,,,,,,,,,,,0.0,.,8.0,1.0,,,,0,.,7.0,7.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,7,,,,,,,,,,,,,0,,,,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,, ,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,－,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,8.0,0.0,,,,0,,9.0,4.0,,,,
,,,,,,,,,,2,5.0,0.0,,,,,,－,,,,,－,,,,1,.,3.0,,,,9.0,.,,,－,,,,,,－,,1.0,3,.,,,－,,,,1.0,.,5.0,,1.0,2.0,,,,,,,,,,,,,,.,,,,,,,.,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,6,,,,,,,,5,,,,,,,,,,,,,,,,,,3,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,, ,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,－,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,4.0,0.0,,,,0,,0.0,7.0,,,,
,,,,,,,,,,3,0.0,0.0,,,,,,－,,,,,－,,,,1,.,3.0,,,,9.0,.,,,－,,,,,,－,,,－,,,1.0,2,.,,,1.0,.,6.0,,1.0,2.0,,,,,,,,,,,,,,.,,,,,,,.,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,9,,,,,,,,,,,,,,,,,4,,,,7,,,,,,,,,,,,,,,,,,4,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(注)　1.　「その他」の率対象は、材料、雑材料、運搬費、保温工及びダクト工とする。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
