Unnamed: 0,配管保温(ロックウール) 　蒸気管(8/9),Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58
,,,,,,,,,,,,,,,,,,,,,,－ － － － －,5.0 5.4 5.9 － －,－ － － 6.4 6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,5.0,,,,,1.0,.,5.0,,－,,,,,,,－,,,－,,,－,,0.0,.,4.0,,－,,,,,,,,,,0.048 0.052 0.055 0.064 0.069,,,0.072 0.075 0.082 0.101 0.105,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,2,0.0,,,,,1.0,.,5.0,,－,,,,,,,－,,,－,,,－,,0.0,.,6.0,,－,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,屋,,2,5.0,,,,,1.0,.,5.0,,－,,,,,,,－,,,－,,,－,,0.0,.,9.0,,－,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,外,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,厨,,露,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,房,,出,,3,2.0,,,,,,－,,1.0,.,5.0,,,,,,－,,,－,,,－,,0.0,.,0.0,,－,,,,,,,,,,,,,,,,,,,
,,,,,,等,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,１,,,,,,,,,,,,,
,,,,,,の,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,式,,,,,,,,,,,,,
,,,,,,多,,バ,,4,0.0,,,,,,－,,1.0,.,5.0,,,,,,－,,,－,,,－,,0.0,.,2.0,,－,,,,,,(,,,,,,,,,,,,,
,,,,,,,,ル,,,,,,,,,,,,0,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,
,,,,,,湿,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(,,,,,,,,,,,,,
,,,,,,箇,,コ,,,,,,,,,,,,,,－,－,7.5,,,,,,,,,,,,,,,,,,,,, ,,,,0.075,,,0.114,,,,,,
,,,,,,,,ニ,,5,0.0,,,,,,－,,1.0,.,5.0,,,,,,－,,,－,,,－,,0.0,.,7.0,,－,,１,,,,材,,,,,,,,,,,,,
,,,,,,所,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,5,,,,,,,,,料,,,,,,,,,,,,,
,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,式,,,,,,,,,,,,,,,,,
,,,,ロ,, ,,,,,,,,,,,,,,,,1.05,－,9.5,,,,,,,,,,,,,,,,,(,,,,費,,,,0.083,,,0.143,,,,,,
,蒸,,, ,,厨,,開,,6,5.0,,,,,,－,,,－,,,,,,,－,,,－,,,－,,0.0,.,1.0,,－,, ,,,,＋,,,,,,,,,,,,,
,,,,ク,,房,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,材,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,雑,,,,,,,,,,,,,
,気,,,ウ,,の,,放,,,,,m,,,,,,,,,1.05,－,－,,,,,,,,,,,,,,,,,料,,,,材,,,,0.091,,,0.153,,,,,,式
,管,,,,,,,廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,費,,,,,,,,,,,,,,,,,
,,,, ,,天,,,,8,0.0,,,,,,－,,,－,,,,,,8.0,.,,,－,,,－,,0.0,.,6.0,,－,,,,,,料,,,,,,,,,,,,,
,,,,,,,,下,,,,,,,,,,,,,,,,,,,6,,,,,,,,,7,,,,,×,,,,,,,,,,,,,,,,,
,,,,,,井,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ル,,,,を,,,,,,,,,,,,,,1.05 1.05 1.05 1.05,－ － － －,－ － － －,,,,,,,,,,,,,,,,, ,,,,費,,,,0.122 0.138 0.161 0.220,,,0.174 0.196 0.216 0.265,,,,,,
,,,,,,内,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,),,,,,,,,,,,,,
,,,,,,,,含,,1,0.0,0.0,,,,,－,,,－,,,,,,9.0,.,,,－,,,－,,0.0,.,6.0,,－,,.,,,5.0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
,,,,,,は,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,8,,,,,),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,
,,,,,,含,,む,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,－,,,－,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,
,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,,,,,,ま,,,,1,2.0,5.0,,,,,,,,,,,,,,1.0,1,.,,－,,,－,,0.0,.,7.0,,－,,,,,,.,,,3.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,9,,,,,,,,,),,,,,,,,,,,,,
,,,,,,な,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,い,,及,,,,,,,,,－,,,－,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,び,,1,5.0,0.0,,,,,,,,,,,,,,1.0,2,.,,－,,,－,,1.0,.,7.0,,－,,,,,,,,,,,,,,,,,,,
,,,,,,,,浴,,,,,,,,,,,,,,,,,,,,2,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,室,,,,,,,,,－,,,－,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,2,0.0,0.0,,,,,,,,,,,,,,,－,,1.0,1,.,,－,,,－,,1.0,.,7.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1.05 1.05,－ －,－ －,,,,,,,,,,,,,,,,,,,,,,,,,0.273 0.341,,,0.305 0.348,,,,,,
,,,,,,,,,,2,5.0,0.0,,,,,－,,,－,,,,,,,－,,1.0,2,.,,－,,,－,,1.0,.,8.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,－,,,－,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,3,0.0,0.0,,,,,,,,,,,,,,,－,,,－,,1.0,1,8.0,,－,,1.0,.,8.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(注)　1.　「その他」の率対象は、材料、雑材料、運搬費、保温工及びダクト工とする。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
