Unnamed: 0,Unnamed: 1,Unnamed: 2,配管保温(ポリスチレンフォーム) 　冷水・冷温水管(膨張管を含む。)(5/7),Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68
,,,,,,,,,,,,,,,0,,,,,,,,,,,8,,5,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1,,,,,
,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1.0, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,－,,,－,,,,,,,,,,,,,,,,
,,,,,,,,2.0,0.0,,,,,,3,,,,－,,,,－,,3.0,.,6,.,,－,,,,－,,,－,,,,－,,,4,.,,,,,,,,,,,,,,,,,0.0,.,0.0,4.0,,,
,,,,,,,,,,,,,,,0,,,,,,,,,,,9,,9,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,
,,,,,,,,,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,
,,,,,,,,,,,,,,1.0, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,8.0,,,
,,,,,,,,2.0,5.0,,,,,,.,,,,－,,,,－,,4.0,.,7,.,,－,,,,－,,,－,,,,－,,,4,.,,,,－,,,－,,,,,,,,,,,.,,,,,
,,,,,,,,,,,,,,,0,,,,,,,,,,,1,,4,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,1,,,,,
,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,－,,,－,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.0,2.0,,,,,,－,,,1.0,.,3.0,,,－,,4.0,.,－,,,7,.,,,,,,,,,,－,,,－,,,,4.0,.,,,－,,,,,,,,,,0.0,.,3.0,4.0,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,6,,,,,6,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,1,,,,,
,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,１,,,,,, ,,,,,
冷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,式,,,,,0.0,,4.0,4.0,,,
水,,,,,,,,4.0,0.0,,,,,,－,,,1.0,.,3.0,,,－,,4.0,.,－,,,8,.,,,－,,,－,,,,－,,,－,,,,4.0,.,,,－,,,,,(,,,,,,.,,,,,
,,,,,,暗,,,,,,,,,,,,,0,,,,,,,7,,,,,0,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,1,,,,,
・,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(,,,,,,,,,,,
冷,,,,ポ,,渠,,,,,,,,,,,,,,,,,,,,,,,,,,,,－,,,－,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,
,,,,,,内,,5.0,0.0,,,,,,－,,,1.0,.,3.0,,,－,,4.0,.,－,,,8,,,,,,,,,,,－,,,－,,,,5.0,.,,,－,,１,,,材,,,,,0.0,.,5.0,7.0,,,
温,,,,リ,,,,,,,,,,,,,,,0,,,,,,,9,,,,.,,,,,,,,,,,,,,,,,,,2,,,,,,,,料,,,,,,1,,,,,
,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,
水,,,,ス,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,式,,,費,,,,,0.0,,7.0,6.0,,,
管,,,,チ,ピ,,,6.0,5.0,,,,,,－,,,1.0,.,3.0,,,－,,5.0,.,－,,,5,,,,－,－,,,,－,,,,－,,,,,5.0,.,,－,,,(,,,＋,,,,,,.,,,,,
,,,,,ッ,,,,,,,,,,,,,,0,,,,,,,2,,,,.,,,,,,,,,,,,,,,,,,,8,,,,, ,,,,,,,,,1,,,,,
(,,,,レ,,,,,,,,,,, ,,,,,,,,,,,,,,,9,,,, ,,,,,,,,,,,,,,, ,, ,,,材,,,雑,,,,,, ,,,,,1
,,,,, ,,,,,,m,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,料,,,,,,,,,,,,,,
 ,,,,ン,ト,,,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,－,,,,－,,,,－,,,,,,,,,,,,,,材,,,,,0.0,,9.0,2.0,,,式
膨,,,,,内,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,費,,,,,,,,,,,,,,
張,,,,フ,,,,,,,,,,,－,,,1.0,.,3.0,,,－,,5.0,.,－,,,－,,,8,.,,,,,,,,,,,,－,,,,,5,,,,,,料,,,,,,.,,,,,
,,,,,を,,,,,,,,,,,,,,0,,,,,,,4,,,,,,,,6,,,,,,,,,,,,,,,,,.,,,×,,,,,,,,,1,,,,,
,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
管,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,費,,,,,,,,,,,
,,,,,含,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,
を,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,5.0,),,,,,,,,,,,
,,,,,む,,,,,,,,,,－,,,,,,,,,,,,,,,－,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,,,,,,,,
,,,,,,,,1.0,0.0,0.0,,,,,,,,1.0,.,3.0,,,－,,5.0,.,－,,,,,,9,.,,,－,,,,－,,,－,,,,,－,,5,.,,0,,,,,,,,0.0,.,3.0,8.0,,,
含,,,,ム,,,,,,,,,,,,,,,0,,,,,,,9,,,,,,,.,8,,,,,,,,,,,,,,,,,,8,,),,,,,,,,,2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,
,,,,,。,,,,,,,,,, ,,,,,,,,,,,,,,, ,,, , ,,,,,,,,,,,,,,,,,, ,,,,,×,,,,,, ,,,,,
む,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,－,,,,－,,,－,,,,,－,,6,,,,,, ,,,,,0.0,,8.0,6.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,3.0,,,,,,,,,
,,,,,,,,1.0,2.0,5.0,,,,,－,,,1.0,.,3.0,,,－,,6.0,.,－,,,－,,,1,.,,,,,,,,,,,,,,,,,,.,,,,,.,,,,,,.,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,3,,,,,,,1,0,,,,,,,,,,,,,,,,,,6,,,,,),,,,,,2,,,,,
,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.0,5.0,0.0,,,,,－,,,1.0,.,3.0,,,－,,6.0,.,－,,,－,,,1,1,－,,,,－,,,,－,,,－,,,,,7,.,,,,,,,,,,0.0,.,2.0,5.0,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,8,,,,,,,,2,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,3,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,, ,,,,2, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,－,,,,－,,,－,,,,,8,,,,,,,,,,,0.0,,8.0,3.0,,,
,,,,,,,,2.0,0.0,0.0,,,,,－,,,1.0,.,3.0,,,－,,7.0,.,－,,,－,,,－,,1,,,,,,,,,,,,,,,,,.,,,,,,,,,,,.,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,7,,,,,,,,,1,,1,,,,,,,,,,,,,,,9,,,,,,,,,,,3,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.0,5.0,0.0,,,,,－,,,,－,,,1.0,.,3.0,9.0,.,－,,,－,,,,－,,1.0,3,.,,,－,,,－,,,,,－,,1,1,.,,,,,,,,,0.0,.,1.0,6.0,,,
,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,6,,,,,,,,,,,,,,,0,,,,,,,,,,5,,,,,
,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.0,0.0,0.0,,,,,－,,,,－,,,1.0,.,3.0,9.0,.,－,,,－,,,,－,,,－,,,1.0,2,.,,－,,,,,－,,1,2,.,,,,,,,,,0.0,.,9.0,8.0,,,
,,,,,,,,,,,,,,,,,,,,,,,0,,,9,,,,,,,,,,,,,,,,4,,,,,,,,,,,6,,,,,,,,,,5,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(注)　1.　「その他」の率対象は、材料、雑材料、運搬費及び保温工とする。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
