Unnamed: 0,Unnamed: 1,配管保温(ポリスチレンフォーム) 　ブライン管(6/7),Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,15202532,,,,,,,,1.0,.,3.0,,,,,－,,,,,－,,,,4.0,.,8.0,.,,－,,,,,－,,,,－,,,,－,,,,0.0,.,0.0,,,－,,,,,,,,,,0.076 0.079 0.083 0.102,,0.090 0.094 0.100 0.123,,,,
,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,－,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1.0,.,3.0,－,,,,,,,,,－,,,,4.0,.,8.0,.,,－,,,,,－,,,,－,,,,－,,,,0.0,.,2.0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,3,,5,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,－,,,,,,,,,,,,,,,,
,,,,,,,,屋,,,,,,,,,1.0,.,,,,,,－,,,,,－,,,,4.0,.,9.0,.,,－,,,,,－,,,,－,,,,－,,,,0.0,.,5.0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,4,,0,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,外,,,,,,,,,,3,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,厨,露,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,－,,,,,,,,,,,,,,,,
,,,,,,,房,出,,,,,,,,,,－,,,,,1.0,.,,,,,－,,,,5.0,.,,－,,8,,,,,－,,,,－,,,,－,,,,0.0,.,6.0,,,,,,,,,,,,,,,,,,,
,,,,,,,等,,,,,,,,,,,,,,,,,0,,,,,,,,,,3,,,,.,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,１,,,,,,,,,,
,,,,,,,の, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,多,バ,40,,,,,,,,,－,,,,1.03,,,,,－,,,,5.5 －,,,,,,9.3,,,,－,,,,－,,,,－,,,,,0.68,,,,,,－,,,,,,式,,,,0.11,,0.127,,,,
,,,,,,,,ル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(,,,,,,,,,,
,,,,,,,湿,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(,,,,,,,,,,
,,,,,ポ,,箇,コ,50,,,,,,,,,,,,,1.03,,,,,－,,,,5.6 －,,,,,,9.9,,,,－,,,,－,,,,－,,,,,0.73,,,,,,,,,,,, ,,,,0.12,,0.137,,,,
,,,,,リ,,所,ニ,,,,,,,,,,－,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,－,,,１,,,材,,,,,,,,,,
,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,式,,,料,,,,,,,,,,
,ブ,,,,ス,, ,,65,,,,,,,,,,,,,1.03,,,,,－,,,,5.9 －,,,,,,10.7,,,,－,,,,－,,,,－,,,,,0.79,,,,,,,,,(,,,費,,,,0.135,,0.149,,,,
,ラ,,,,チ,,厨,開,,,,,,,,,,－,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,－,,, ,,,＋,,,,,,,,,,
,,,,,レ,,房,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,材,,,,,,,,,,,,,1
,イ,,,,ン,,の,放,80,,,,,m,,,,,,,,1.03,,,,,－,,,,6.0 －,,,,,,－,,,,9.6,,,,－,,,,－,,,,,0.84,,,,,,,,,料,,,雑,,,,0.148,,0.159,,,,式
,ン,,,,,,,廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,費,,,材,,,,,,,,,,
,管,,,,フ,,天,下,,,,,,,,,,－,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,－,,,,,,料,,,,,,,,,,
,,,,, ,,井,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,,,,,,,,,,
,,,,,,,,を,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,費,,,,0.180 0.216 0.249 0.286 0.385 0.445,,0.181 0.203 0.223 0.263 0.319 0.362,,,,
,,,,,,,内,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,5,,,,,,,,,,
,,,,,,,,含,,,,,,,,,,－,,,,,,－,,,,1.0,.,3.0,,,7.0,.,,－,,,－,,,1.0,2,.,,,－,,,,－,,,,1.0,.,6.0,,,－,,,.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,,,,,ム,,は,,,,,,,,,,,,,,,,,,,,,,0,,,,,4,,,,,,,,,,3,,,,,,,,,,,,0,,,,,,,),,,),,,,,,,,,,
,,,,,,,,む,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,, ,,,,,,,,,,
,,,,,,,含,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,,,,,,,
,,,,,,,,,125,,,,,,,,,－,,,,,,－,,,,,,,,,,,,,,,－,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,
,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,3.0,,,,,,,
,,,,,,,ま,,,,,,,,,,,,,,,,,,,,,1.0,.,3.0,,,7.0,.,,－,,,,,,1.0,3,.,,,－,,,,－,,,,,－,,,1.0,.,,,,,,.,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,7,,,,,,,,,,5,,,,,,,,,,,,,,,,1,,,,,,),,,,,,,,,,
,,,,,,,な,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,
,,,,,,,,及,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,い,び,,1.0,5.0,0.0,,,,,,－,,,,,,－,,,,1.0,.,3.0,,,8.0,.,,－,,,－,,,1.0,4,.,,,－,,,,－,,,,,－,,,1.0,.,7.0,,,,,,,,,,,,,,,
,,,,,,,,浴,,,,,,,,,,,,,,,,,,,,,0,,,,,2,,,,,,,,,,6,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,室,,,,,,,,,,－,,,,,,－,,,,,,,,,,,,,,,－,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,2.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,.,3.0,,,9.0,.,,－,,,,,,,－,,,1.0,2,.,,,－,,,,,－,,,1.0,.,7.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,9,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,－,,,,,,－,,,,,,,,,,,,,,,－,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,2.0,5.0,0.0,,,,,,,,,,,,,,,,1.0,.,3.0,,,9.0,.,,－,,,,,,,－,,,1.0,4,.,,,－,,,,,－,,,1.0,.,7.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,7,,,,,,,,,,,,,,7,,,,,,,,,,,,6,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,－,,,,,,－,,,,,,,,,,,,,,,－,,,,,,,,,,,,,,,,,,,,1.0,,8.0,,,,,,,,,,,,,,,
,,,,,,,,,,3.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,.,3.0,,1.0,0.0,.,,－,,,,,,,－,,,,－,,,1.0,3,.,,,,－,,,,.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,6,,,,,,,,,,,,,,,,,,3,,,,,,,,8,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(注)　1.　「その他」の率対象は、材料、雑材料、運搬費、保温工及びダクト工とする。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
