Unnamed: 0,配管保温(グラスウール) 　冷水・冷温水管(膨張管を含む。)及び冷媒管(7/8),Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,他,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,［人］,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1,5,,,,,,,1.0,.,5.0,,－,,,,－,,,6,.,,,－,,,,－,,,,,－,,,－,,,0.0,.,2.0,,－,,,,,,,,,,,,,,0,.,5.0,4.0,,,,0,.,8.0,5.0,,,
,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,
,,,,,,,,, , ,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,, ,,,,,
,,,,,,,,,,,,,,,,,1.0,,5.0,,－,,,,－,,,6,,,,－,,,,－,,,,,－,,,－,,,,,,,,,,,,,,,,,,,,,0,,5.0,6.0,,,,0,,,9.0,,,
,,,,,,,,,2,0,,,,,,,,.,,,,,,,,,,,.,,,,,,,,,,,,,,,,,,0.0,.,4.0,,－,,,,,,,,,,,,,,,.,,,,,,,.,8.0,,,,
,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,
,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.062,,,,,,,0.095,,,,,,,,
,,,,,,,屋,,2,5,,,,,,,1.0,.,5.0,,－,,,,－,,,7,.,,,－,,,,－,,,,,－,,,－,,,0.0,.,7.0,,－,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,外,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,冷,,,,厨,,露,,,,,,,,,,,,,,,,,,,,,,,,,,,,,－,,,,,,,,－,,,,,,,,,,,,,,,,,,,0.074,,,,,,,0.117,,,,,,,,
,水,,,,房,,出,,3,2,,,,,,,,－,,1.0,.,5.0,,,－,,,－,,,,7,.,,,,,,,,－,,,,,,0.0,.,8.0,,－,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,等,,,,,,,,,,,,,,,,0,,,,,,,,,,,,6,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,・,,,,の,, ,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,－,,,,,,,,－,,,,,,,,,,,,,,１,,,,,0.081 0.089,,,,,,,0.121 0.131,,,,,,,,
,冷,,,,多,,バ,,4,0,,,,,,,,－,,1.0,.,5.0,,,－,,,－,,,,,.,,,,,,,,－,,,,,,0.0,.,0.0,,－,,,,,,,式,,,,,,,,,,,,,,,,,,,,
,温,,,,,,ル,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,6,,,,,,,,,,(,,,,,,,,,,,,,,,,,,,,
,,,,,湿,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(,,,,,,,,,,,,,,,,,,,,
,水,,,,箇,,コ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,－,,,,,,,,－,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,
,管,,,,,,ニ,,5,0,,,,,,,,－,,1.0,.,5.0,,,－,,,－,,,,8,.,,,,,,,,－,,,,,,0.0,.,5.0,,－,,１,,,,,材,,,,,,,,,,,,,,,,,,,,
,,,,,所,,,,,,,,,,,,,,,,0,,,,,,,,,,,,7,,,,,,,,,,,,,,,6,,,,,,,,,,料,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,式,,,,,,,,,,,,,,,,,,,,,,,,,
(,,,グ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(,,,,,費,,,,,0.097,,,,,,,0.143,,,,,,,,
 ,,,ラ,,厨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
膨,,,,,,,,,6,5,,,,,,,,－,,1.0,.,5.0,,,－,,,－,,,,9,,,,－,,,,,－,,,－,,,0.0,.,1.0,,－,,,,,,,＋,,,,,,,,,,,,,,,,,,,,
張,,,,,,,開,,,,,,,,,,,,,,0,,,,,,,,,,,.,,,,,,,,,,,,,,,,7,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ス,,房,,,, , ,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,材,,,,,,,,,,,,,,,,,,,,,,,,,1
管,,,ウ,,の,,放,,,,,,m,,,,,,,,,,,,,,,,,,, ,,,,,,,,,－,,,－,,,,,,,,,料,,,,,雑,,,,,0.105 0.133 0.155 0.176,,,,,,,0.153 0.174 0.196 0.216,,,,,,,,式
を,,,,,,,廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,費,,,,,材,,,,,,,,,,,,,,,,,,,,
,,, ,,天,,,,8,0,,,,,,,,－,,1.0,.,5.0,,,－,,,－,,,,－,,,8,.,,,,,,,,,,,0.0,.,6.0,,－,,,,,,,料,,,,,,,,,,,,,,,,,,,,
含,,,,,,,下,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,6,,,,,,,,,,,,7,,,,,×,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ル,,井,,,, , ,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
む,,,,,,,を,,,,,,,,,,,－,,,,,,,－,,,－,,,,,,,,,,,,,－,,,－,,,,,,,,, ,,,,,費,,,,,,,,,,,,,,,,,,,,
,,,,,内,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,5.0,),,,,,,,,,,,,,,,,,,,,
。,,,,,,,含,,1,0,,,,,,,,,,,,,,,,,,,,,,－,,,,,,,,,,,,,,,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1.0,.,5.0,,,,,,,,,,,,,9,,8,,,,,,,,,,0.0,.,6.0,,－,,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,は,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,.,,,,,,,,,,,,,8,,,,,),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,む,, , ,,,,,,,,,,,,,,,,,,,,,, ,,, ,, ,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,,,,,,,,,,,,,,,,,
),,,,,含,, ,,,,,,,,,,,－,,,,,,,－,,,－,,,,,,,,,,,,,－,,,－,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,3.0,,,,,,,,,,,,,,,,
及,,,,,ま,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,,,,,,,,,,,,,,
び,,,,,,,,,1,2,,,,,,,,,,1.0,.,5.0,,,,,,,,,,－,,,1,,.,,,,,,,,,,0.0,.,7.0,,－,,,,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,,な,,,,2,5,,,,,,,,,,,0,,,,,,,,,,,,,,1,,0,,,,,,,,,,,9,,,,,,,,,,),,,,,,,,,,,,,,,,,,,,
,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
冷,,,,,い,,及,,,,,,,,,,,－,,,,,,,,,,,,,,,,,,,,,,,－,,,－,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
媒,,,,,,,び,,1,5,,,,,,,,,,1.0,.,5.0,,,－,,,－,,,,－,,,1,2,.,,,,,,,,,,1.0,.,7.0,,－,,,,,,,,,,,,,,,,,,,,,,,,,,,
管,,,,,,,浴,,5,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,室,,,,,,,,,,,－,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.214 0.277,,,,,,,0.256 0.312,,,,,,,,
,,,,,,,,,0,0,,,,,,,,,,1.0,.,5.0,,,－,,,－,,,,－,,,,－,,,,1.0,1,.,,－,,,,－,,1.0,.,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,－,,,,,,,,,,－,,,,－,,,,－,,,,1.0,3,,,－,,,,－,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2,5,,,,,,,,,,,－,,,1.0,.,5.0,,,,,,,,,,,,,,,,.,,,,,,,,1.0,.,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,5,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,6,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,－,,,－,,,,,,,－,,,,－,,,,－,,,,,,,,,,,,－,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,3,0,,,,,,,,,,,,,,1.0,.,5.0,,,,,,,,,,,,,,,－,,1.0,2,.,,,,,1.0,.,6.0,,,,,,,,,,,,,0,.,3.0,9.0,,,,0,.,5.0,5.0,,,
,,,,,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,4,,,,,,7,,,,,,,,,,,,,,,3,,,,,,,3,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(注)　1.　「その他」の率対象は、材料、雑材料、運搬費、保温工及びダクト工とする。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
