Unnamed: 0,Unnamed: 1,配管保温(ポリスチレンフォーム) 　給水管、排水管(2/8),Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1.03,,,－,,3.6,,1.05,,－,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,4.0,2.0,,,,0.0,.,,2.0,9.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,
,,,,,,,,,,,,,,1.03,,,－,,3.7,,1.05,,－,,,,,,,,,,,,,,0.0,,0.0,4.0,3.0,,,,0.0,,,3.0,0.0,,,,
,,,,,,,,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,
,,,,,,,,3.0,2.0,,,,,1.03,,,－,,3.9,,1.05,,－,,,,,,,,,,,,,,0.0,,0.0,4.0,4.0,,,,0.0,,,3.0,4.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,１,,,,,,,,,,,,,,,, ,,,,,,,
,,,,,,,,4.0,0.0,,,,,1.03,,,－,,4.0,,1.05,,－,,,,,,,式,,,,,,,0.0,,0.0,4.0,8.0,,,,0.0,,,3.0,6.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(,,,,,,,,,,,,,,,,.,,,,,,,
,,,,,屋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(,,,,,,,,,,,,,,,, ,,,,,,,
,,,,ポ,内,,,5.0,0.0,,,,,1.03,,,－,,4.2,,1.05,,－,,,,,,, ,,,,,,,0.0,,0.0,5.0,1.0,,,,0.0,,,3.0,9.0,,,,
,,,,,露,,,,,,,,,,,,,,,,,,,,,,１,,,材,,,,,,,,,,,,,,,,.,,,,,,,
,,,,リ,,,,,,,,,,,,,,,,,,,,,,,,,,料,,,,,,,,,,,,,,,,0,,,,,,,
,給,,,ス,出,,,,,,,,,1.03,,,－,,4.5,,1.05,,－,,,式,式,,,費,,,,,,,0.0,,0.0,5.0,7.0,,,,0.0, ,,4.0,3.0,,,,
,水,,,チ,(,,,6.0,5.0,,,,,,,,,,,,,,,,, , ,,,＋,,,,,,,,,,,,,,,,.,,,,,,,
,管,,,, ,,,,,,,,,,,,,,,,,,,,,材,材,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,レ,一,,,,,,,,,,,,,,,,,,,,,,,,,雑,,,,,,,,,,,,,,,, ,,,,,,,1
,,,,ン,般,,,8.0,0.0,,,,m,1.03,,,－,,4.7,,1.05,,－,,,料,料,,,材,,,,,,,0.0,,0.0,6.0,2.0,,,,0.0,,,4.0,7.0,,,,式
,排,,,,居,,,,,,,,,,,,,,,,,,,,,費,費,,,,,,,,,,,,,,,,,,,0,,,,,,,
,水,,,フ,室,,,,,,,,,,,,,,,,,,,,,,,,,料,,,,,,,,,,,,,,,,.,,,,,,,
,管,,, ,,,,,,,,,,,,,,,,,,,,,,×,×,,,費,,,,,,,,,,,,,,,, ,,,,,,,
,,,,,、,,,,,,,,,－,,,1.03,,5.4,,－,,1.05,,, , ,,,,,,,,,,0.0,,0.0,8.0,3.0,,,,0.0,,,5.0,9.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,.,5.0,),,,,,,,,,,,,,,,,,,,,,,,
,,,,, ,,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,.,,,,,,,
,,,,ム,廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,下,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,,,,,,,,,,,,, ,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,0.0,,1.0,0.0,2.0,,,,0.0,,,6.0,7.0,,,,
,,,,,),,,,,,,,,－,,,1.03,,5.9,,－,,1.05,,,,,,,0,,,,3.0,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,.,,,,,,,,,,,,,,,,.,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,),,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,
,,,,,,,,,,,,,,－,,,1.03,,6.4,,－,,1.05,,,,,,,,,,,,,,0.0,,1.0,1.0,9.0,,,,0.0,,,7.0,5.0,,,,
,,,,,,,,1.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,
,,,,,,,,,,,,,,－,,,1.03,,7.1,,－,,1.05,,,,,,,,,,,,,,0.0,,1.0,6.0,6.0,,,,0.0,,,9.0,1.0,,,,
,,,,,,,,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,
,,,,,,,,,,,,,,－,,,1.03,,8.1,,－,,1.05,,,,,,,,,,,,,,0.0,,1.0,9.0,9.0,,,,0.0,,,0.0,8.0,,,,
,,,,,,,,2.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,
,,,,,,,,,,,,,,－,,,1.03,,8.9,,－,,1.05,,,,,,,,,,,,,,0.0,,2.0,3.0,4.0,,,,0.0,,,2.0,4.0,,,,
,,,,,,,,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(注)　1.　「その他」の率対象は、材料、雑材料、運搬費、保温工及びダクト工とする。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,- ＲM 5 -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
