Unnamed: 0,Unnamed: 1,配管保温(ロックウール) 　蒸気管(6/9),Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41
,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,
,,,,,,天,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,, ,,,,,,,,,,,,,,,,,１,,,,,,,, ,,,,,,
,,,,,,井,,,,,,,－,,,1.05,,－,,1.8,,－,,,,,式,,,,,,,0,,5.0,5.0,,,,
,,,,,,内,,,,0,,,,,,,,,,,,,,,,,(,,,,,,,,.,,,,,,
,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,、,,,, ,,,－,,,1.05,,－,,1.9,,－,,,,,(,,,,,,,0, ,6.0,1.0,,,,
,,,,,, ,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,
,,,,,,パ,,,,5,,,,,,,,,,,,,,１,,,材,,,,,,,,.,,,,,,
,,,,,,イ,,,,0,,,,,,,,,,,,,,,,,料,,,,,,,,0,,,,,,
,,,,,ロ,プ,,,, ,,,－,,,－,,1.05,,2.1,,－,,式,,,費,,,,,,,0, ,7.0,9.0,,,,
,,,,, ,シ,,,,6,,,,,,,,,,,,,,(,,,＋,,,,,,,,.,,,,,,
,蒸,,,,,,,,,5,,,,,,,,,,,,,, ,,,,,,,,,,,0,,,,,,
,気,,,,ク,ャ,,,, ,,,,,,,,,,,,,,材,,,雑,,,,,,,, ,,,,,,1
,,,,,ウ, ,,,,,,m,－,,,－,,1.05,,2.2,,－,,料,,,材,,,,,,,0,,8.0,7.0,,,,式
,管,,,,,フ,,,,,,,,,,,,,,,,,,費,,,,,,,,,,,,,,,,,
,,,,, ,ト,,,,8,,,,,,,,,,,,,,,,,料,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,,,,,,,,,×,,,,,,,,,,,.,,,,,,
,,,,,ル,内,,,, ,,,－,,,－,,1.05,,2.3,,－,, ,,,費,,,,,,,0, ,0.0,7.0,,,,
,,,,,,及,,,,,,,,,,,,,,,,,,0,,,),,,,,,,,,,,,,,
,,,,,,,,,,0,,,,,,,,,,,,,,.,,5.0,,,,,,,,,.,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
,,,,,,び,,,,0,,,,,,,,,,,,,,),,,,,,,,,,,1,,,,,,
,,,,,,,,,,1,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,
,,,,,,,,,, ,,,,,,,,,,,,,,,,,×,,,,,,,, ,,,,,,
,,,,,,空,,,,,,,,,,,,,,,,,,,,, ,,,,,,,0,,2.0,9.0,,,,
,,,,,,,,,,,,,－,,,－,,1.05,,2.5,,－,,,,,0,,,,3.0,,,,,,,,,,
,,,,,,隙,,,,5,,,,,,,,,,,,,,,,,.,,,,,,,,.,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,,,,,,,,,,2,,,,,,,,,,,,,,,,,),,,,,,,,1,,,,,,
,,,,,,壁,,,,1,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,
,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,中,,,,,,,－,,,－,,1.05,,2.6,,－,,,,,,,,,,,,0,,4.0,9.0,,,,
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,
,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,
,,,,,,,,,, ,,,－,,,－,,1.05,,－,,2.8,,,,,,,,,,,,0,,9.0,4.0,,,,
,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,
,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,
,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,－,,,－,,1.05,,－,,3.1,,,,,,,,,,,,0,,2.0,8.0,,,,
,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,
,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,
,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,－,,,－,,1.05,,－,,3.4,,,,,,,,,,,,0,,6.0,3.0,,,,
,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,
,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(注)　1.　「その他」の率対象は、材料、雑材料、運搬費及び保温工とする。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,- ＲM 49 -,,,,,,,,,,,,,,,,,,,,,
