表ＲＭ－１－１０【市】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
,,,,,,屋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(,,,,,,,, ,,,,,,, ,,,,,,
,,,,,,内,,,,,5,0.0,,,,－,,,1.05,,－,,0.58,12.0,,,,,, ,,,,,,,0.0,,6.0,1.0,,,,0,,3.0,4.0,,,,
,,,,,,露,,,,,,,,,,,,,,,,,,,,,１,,,材,,,,,,,,.,,,,,,,.,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,料,,,,,,,,0,,,,,,,0,,,,,,
,,,,,ロ,出,,,,,6,5.0,,,,－,,,－,,1.05,,0.71,12.0,,,式,,,費,,,,,,,0.0, ,7.0,9.0,,,,0, ,4.0,3.0,,,,
,,,,, , ,,,,,,,,,,,,,,,,,,,,,(,,,＋,,,,,,,,.,,,,,,,.,,,,,,
,蒸,,,,,一,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,0,,,,,,,0,,,,,,
,気,,,,ク,般,,,,,,,,,,,,,,,,,,,,,材,,,雑,,,,,,,, ,,,,,,, ,,,,,,1
,,,,,ウ,,,,,,8,0.0,,,m,－,,,－,,1.05,,0.76,12.0,,,料,,,材,,,,,,,0.0,,8.0,7.0,,,,0,,4.0,6.0,,,,式
,管,,,,,居,,,,,,,,,,,,,,,,,,,,,費,,,,,,,,,,,,,,,,,,,,,,,,
,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,料,,,,,,,,0,,,,,,,0,,,,,,
,,,,,,室,,,,,,,,,,,,,,,,,,,,,×,,,,,,,,,,,.,,,,,,,.,,,,,,
,,,,,ル,、,,,,,,,,,,－,,,－,,1.05,,0.86,12.0,,, ,,,費,,,,,,,0.0, ,0.0,7.0,,,,0, ,5.0,2.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,5.0,),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,,,,,.,,,,,,,.,,,,,,
,,,,,, ,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,廊,,,,,1,0.0,0.0,,,,,,,,,,,,,,),,, ,,,,,,,,1,,,,,,,0,,,,,,
,,,,,,下,,,,,,,,,,,,,,,,,,,,,,,,×,,,,,,,, ,,,,,,, ,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,0.0,,2.0,9.0,,,,0,,5.0,9.0,,,,
,,,,,,,,,,,,,,,,－,,,－,,1.05,,0.97,12.0,,,,,,0,,,,3.0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,2.0,5.0,,,,,,,,,,,,,,,,,.,,,,,,,,.,,,,,,,.,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,),,,,,,,,1,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,, ,,,,,,
,,,,,,,,,,,1,5.0,0.0,,,－,,,－,,1.05,,1.07,12.0,,,,,,,,,,,,,0.0,,4.0,9.0,,,,0,,6.0,5.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,.,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,, ,,,,,,
,,,,,,,,,,,2,0.0,0.0,,,－,,,－,,1.05,,1.27,12.0,,,,,,,,,,,,,0.0,,9.0,4.0,,,,0,,7.0,7.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,.,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,, ,,,,,,
,,,,,,,,,,,2,5.0,0.0,,,－,,,－,,1.05,,1.55,12.0,,,,,,,,,,,,,0.0,,2.0,8.0,,,,0,,9.0,2.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,.,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,, ,,,,,,
,,,,,,,,,,,3,0.0,0.0,,,－,,,－,,1.05,,1.76,12.0,,,,,,,,,,,,,0.0,,6.0,3.0,,,,0,,0.0,4.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,.,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(注)　1.　「その他」の率対象は、材料、雑材料、運搬費、保温工及びダクト工とする。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,- ＲM 44 -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
