Unnamed: 0,配管保温(グラスウール) 　蒸気管(9/9),Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,［人］,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1.0,5.0,,,,1.0,.,5.0,,－,,,,－,,5,.,,－,,,,－,,,,,－,,,－,,,0.0,.,4.0,,,,,,,,,,,,0,.,4.0,1.0,,,,0,.,0.0,0.0,,,,
,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,0,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,－,,,－,,,,,,,,,,,,,,,0.043,,,,,,,,0.104,,,,,,,,
,,,,,,,,,2.0,0.0,,,,1.0,.,5.0,,－,,,,－,,5,.,,－,,,,－,,,,,,,,,,,0.0,.,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0,,,,,,,,,,4,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,－,,,－,,,,,,,,,,,,,,,0.047 0.055 0.061 0.066,,,,,,,,0.113 0.138 0.142 0.156,,,,,,,,
,,,,,,,屋,,2.0,5.0,,,,1.0,.,5.0,,－,,,,－,,5,.,,－,,,,－,,,,,,,,,,,0.0,.,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0,,,,,,,,,,9,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,外,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,厨,露,,,,,,,,,,,,,,,,,,,,,,,,,,,,,－,,,－,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,房,出,,3.0,2.0,,,,,－,,1.0,.,5.0,,,－,,－,,,6,.,,,－,,,,,,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,等,,,,,,,,,,,,0,,,,,,,,,,4,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,, ,,,,,,,１,,,,,,,,,,,,,,,,,,,,
,,,,,,の, ,,,,,,,,,,,,,,,,,,,,6,,,,－,,,,,－,,,－,,,0.0,,2.0,,,,,,式,,,,,,,,,,,,,,,,,,,,
,,,,,,多,バ,,4.0,0.0,,,,,－,,1.0,.,5.0,,,－,,－,,,,.,,,,,,,,,,,,,,,.,,,,,,,(,,,,,,,,,,,,,,,,,,,,
,,,,,,,ル,,,,,,,,,,,0,,,,,,,,,,8,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,湿,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,, ,,,,,,,(,,,,,,,,,,,,,,,,,,,,
,,,,,,箇,コ,,,,,,,,,,,,,,,,,,,,7,,,,－,,,,,－,,,－,,,0.0,,7.0,,,,,, ,,,,,,,,,,,,,,,,,,,,
,,,,,,所,ニ,,5.0,0.0,,,,,－,,1.0,.,5.0,,,－,,－,,,,.,,,,,,,,,,,,,,,.,,１,,,,,材,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0,,,,,,,,,,5,,,,,,,,,,,,,,,5,,,,,,,料,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,式,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,グ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(,,,,,費,,,,0.08,,,,,,,,0.195,,,,,,,,
,蒸,,,ラ,,厨,開,,6.0,5.0,,,,,－,,,－,,,1.0,.,5.0,－,,,9,.,,,－,,,,,－,,,－,,,0.0,.,1.0, ,,,,,＋,,,,,,,,,,,,,,,,,,,,
,,,,ス,,房,,,,,,,,,,,,,,,,0,,,,,,5,,,,,,,,,,,,,,,7,,材,,,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,雑,,,,,,,,,,,,,,,,,,,,
,気,,,ウ,,の,放,,,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,料,,,,,材,,,,0.088 0.115 0.132,,,,,,,,0.208 0.237 0.267,,,,,,,,式
,管,,,,,,廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,費,,,,,,,,,,,,,,,,,,,,,,,,,
,,,, ,,天,,,8.0,0.0,,,,,－,,,－,,,1.0,.,5.0,－,,,－,,,8.0,.,,,,,－,,,－,,,0.0,.,6.0,,,,,,料,,,,,,,,,,,,,,,,,,,,
,,,,,,,下,,,,,,,,,,,,,,,0,,,,,,,,,6,,,,,,,,,,,,7,,×,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ル,,井,を,,,,,,,,,,,,,,,,,,,,,,,,,,,,,－,,,,,,0.0,,6.0, ,,,,,費,,,,,,,,,,,,,,,,,,,,
,,,,,,内,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,),,,,,,,,,,,,,,,,,,,,
,,,,,,,含,,1.0,0.0,0.0,,,,－,,,－,,,1.0,.,5.0,－,,,－,,,9.0,.,,,,,,,,－,,,,.,,.,,,,5.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,は,,,,,,,,,,,,,,,,0,,,,,,,,,8,,,,,,,,,,,,8,,),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,
,,,,,,含,む,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,－,,,－,,,1.0,,5.0,－,,,,,,,,,,,,－,,,－,,,0.0,,7.0,,,,,, ,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,3.0,,,,,,,,,,,,,,,,,
,,,,,,ま,,,,,,,,,,,,,,,,.,,,,,,,,,,,,,,,,,,,,,.,,,,,,,.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1.0,2.0,5.0,,,,,,,,,,,,,,,,－,,,1.0,1,.,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,な,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,9,,,,,,,),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,い,及,,,,,,,,－,,,－,,,,,,,,,,,,,,,,,,,,,－,,,,,,,,,,,,,,,0.155,,,,,,,,0.294,,,,,,,,
,,,,,,,び,,1.0,5.0,0.0,,,,,,,,,,1.0,.,5.0,－,,,－,,,1.0,2,.,,,,－,,,,,,1.0,.,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,浴,,,,,,,,,,,,,,,0,,,,,,,,,,2,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,,,,,,,0.363,,,,,,,,
,,,,,,,,,2.0,0.0,0.0,,,,－,,,－,,,1.0,.,5.0,－,,,－,,,,－,,,,1.0,1,.,,－,,,1.0,.,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,－,,,－,,,,,,,,,－,,,,－,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2.0,5.0,0.0,,,,,,,,,,1.0,.,5.0,－,,,,,,,,,,,1.0,2,.,,－,,,1.0,.,8.0,,,,,,,,,,,,0,.,3.0,2.0,,,,0,.,1.0,9.0,,,,
,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,9,,,,,,4,,,,,,,,,,,,,,2,,,,,,,4,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,, ,,,,,,
,,,,,,,,,,,,,,,－,,,－,,,,,,,,,－,,,,－,,,,,,,,,,,,,,,,,,,,,,,,,0,,8.0,6.0,,,,0,,7.0,7.0,,,,
,,,,,,,,,3.0,0.0,0.0,,,,,,,,,,1.0,.,5.0,－,,,,,,,,,,,,－,,1.0,1,.,,1.0,.,8.0,,,,,,,,,,,,,.,,,,,,,.,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,8,,,6,,,,,,,,,,,,,,2,,,,,,,4,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(注)　1.　「その他」の率対象は、材料、雑材料、運搬費、保温工及びダクト工とする。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
