(ダクト類保温),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
,,,,,,,,［mm］,,,,［本］ ［本］ ［ｍ２］ ［ｍ２］ ［ｍ２］ ［ｍ２］,,,,,,,,［ｍ２］ ［ｋｇ］ ［ｍ］ ［ｍ］ ［ｍ］ ［ｍ２］ ［ｍ２］,,,,,,,,,,,,,,,,,,,,,［人］,,,［人］ ［人］,,,,,［人］,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,屋内露出(一般 居室、廊下),,,50,,,－,,20,1.3,－,－,,－,,－,－,－,－,－,,－,－,－,,,,,,,,,,0.095 0.48 0.50 0.50 0.86,,,,,,,,,,,,,
,,,,,機械室､書庫､,,,25,,,20,,6,－,－,1.3,,－,,－,－,0.85,5.6,－,,－,－,－,,,,,,,,,,,,,,,,,,,,,,,
,,長 方 形 ダ ク ト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,－ －,,,,,,,0.166 － － － －,,,,,,,,,,,,,
,,,,,倉庫,,,50,,,－,,20,－,－,1.3,,－,,－,－,2.58,－,3.34,,－,－,－,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.140 － 0.158 －,,,,,,,－ －,,,－－ －－,,,
,,,,,屋内隠ぺい、ダ クトシャフト内,,,25,,㎡,20,,6,－,－,1.3,,－,,－,－,0.85,5.6,－,,－,－,－,,,,,,,１,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,－,,,,式,,,,,,,,,,,,,,,,
,,,,,屋外露出(バルコ ニｰ、 開放廊下を含 む。)及び浴室、厨房 等の多湿箇所(厨房の 天井内は含まない。),,,50,,,－,,20,1.3,－,－,,－,,2.97,－,－,－,－,,－,－,－,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一 般 ダ ク ト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,,,,,,,材,0.113 0.48 0.50,,,,,,,,,0.50 0.86,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,料,,,,,,,,,,,,,,
,,,,,屋内露出(一般 居室、廊下),,,50,,,－,,－,－,1.45,－,,－,,－,－,－,－,－,,－,－,－,,,,,,,,,費,0.117,,,0.34,,,0.36 0.36,,,,,0.61,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,,,,,１,,＋,,,,,,,,,,,,,,
,,スロ,,,機械室､書庫､,,,25,,,－,,－,－,－,－,,1.45,,－,－,4.45,－,－,,－,－,－,,,,,,,式,,雑,0.148,,,－,,,－－,,,,,－,,
,,ッパ,,,,,,,,,,,,,,,,,,,,,,,,,,,,(,,,,,,,材,,,,,,,,,,,,,,
,,イク,,,倉庫,,,50,,,－,,－,－,－,－,,1.45,,－,－,4.97,－,－,,－,－,－,,,－ －,,,,材,,料,0.16,,,－,,,－－,,,,,－,,１ 式
,,ラウ,,,屋内隠ぺい、ダ クトシャフト内,,,25,,㎡,－,,－,－,－,－,,1.45,,－,－,4.45,－,－,,－,－,－,,,,,,,料,,費,0.141,,,－,,,－－,,,,,－,,
,,ル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,－,,,,費,,×,,,,,,,,,,,,,,
,,ダル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,ク,,,屋外露出(バルコ ニｰ、 開放廊下を含 む。)及び浴室、厨房 等の多湿箇所(厨房の 天井内は含まない。),,,50,,,－,,－,－,1.45,－,,－,,3.29,－,－,－,－,,－,－,－,,,,,,,0.1,,0.03,0.14,,,0.34,,,0.36 0.36,,,,,0.61,,
,,ト,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75 ),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,消 音 内 貼,,,,サプライチャンバー,,,50,,,－,,30,1.05,－,－,,－,,－,0.3,－,－,－,,1,1.1,－,,,－ － － － －,,,,,,,0.266,,,－,,,－－,,,,,－,,
,,,,,,,,25,,㎡,30,,－,1.08,－,－,,－,,－,0.3,－,－,－,,1,1.1,－,,,,,,,,,,0.25,,,－,,,－－,,,,,－,,
,,,,,消音チャンバー,,,50,,,－,,30,1.05,－,－,,－,,－,0.3,－,－,－,,1,－,－,,,,,,,,,,0.232,,,－,,,－－,,,,,－,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,消音エルボ,,,25,,,30,,－,1.08,－,－,,－,,－,0.3,－,－,－,,1,－,－,,,,,,,,,,0.209,,,－,,,－－,,,,,－,,
排,,長,,,屋内隠ぺい,,,25,,㎡,20,,6,－,－,1.3,,－,,－,－,0.85,5.6,－,,－,－,1.56,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,方,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.169 － － － －,,,,,,,,,,,,,
煙,,形,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ダ,,,,,屋内隠ぺい,,,25,,㎡,－,,－,－,－,－,,1.45,,－,－,4.45,－,－,,－,－,1.65,,,,,,,,,,,,,,,,,,,,,,,
ク,,円,,,,,,,,,,,,,,,,,,,,,,,,,,,,,－ 0.153 － － － －,,,,,,,,,,,,,,,,,,,,
ト,,形,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(注)　1.　「その他」の率対象は、材料、雑材料、運搬費、保温工及びダクト工とする。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
