Unnamed: 0,配管保温(ポリスチレンフォーム) 　給水管、排水管(7/8),Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,他,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,［人］,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1.0,5.0,,,,,,1.0,.,3.0,,,－,,3.0,.,,5,.,,,－,,,－,,,－,,,－,,,0.0,.,4.0,,,,－,,,,,,,,,,,,,0.0,.,5.0,6.0,,,0,.,6.0,8.0,,,
,,,,,,,,,,,,,,0,,,,,,,5,,,1,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058,,,,,,0.073,,,,,,,,
,,,,,,2.0,0.0,,,,,,1.0,.,3.0,,,－,,3.0,.,,5,.,,,－,,,－,,,－,,,－,,,0.0,.,6.0,,,,－,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,6,,,4,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,,,,,,0.078,,,,,,,,
,,,,,屋,2.0,5.0,,,,,,1.0,.,3.0,,,－,,3.0,.,,6,.,,,－,,,－,,,－,,,－,,,0.0,.,9.0,,,,－,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,外,,,,,,,,,0,,,,,,,7,,,0,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,厨,露,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.068,,,,,,0.085,,,,,,,,
,,,,房,出,3.0,2.0,,,,,,1.0,.,3.0,,,－,,3.0,.,,6,.,,,－,,,－,,,－,,,－,,,0.0,.,2.0,,,,－,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,等,,,,,,,,,,0,,,,,,,9,,,6,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,１,,,,,,,,,,,,,,,,,,
,,,,の, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,式,,,,0.073 0.080,,,,,,0.089 0.099,,,,,,,,
,,,,多,バ,4.0,0.0,,,,,,1.0,.,3.0,,,－,,4.0,.,,7,.,,,－,,,－,,,－,,,－,,,0.0,.,4.0,,,,－,,,,,,,(,,,,,,,,,,,,,,,,,,
,,,,,ル,,,,,,,,,0,,,,,,,0,,,0,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,湿,,,,,,,,,, ,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,(,,,,,,,,,,,,,,,,,,
,,ポ,,箇,コ,5.0,0.0,,,,,,1.0,,3.0,,,,,,,,7,,,,－,,,,,,,,,,,,,,,,,,－,,,,,,, ,,,,,,,,,,,,,,,,,,
,,,,,ニ,,,,,,,,,.,,,,－,,4.0,.,,,.,,,,,,－,,,－,,,－,,,0.0,.,9.0,,,,,,,１,,,,材,,,,,,,,,,,,,,,,,,
,,リ,,所, ,,,,,,,,,0,,,,,,,2,,,9,,,,,,,,,,,,,,,,4,,,,,,,,,,,,料,,,,,,,,,,,,,,,,,,
,給,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,式,,,,,,,,,,,,,,,,,,,,,,
,水,ス,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(,,,,費,,,,0.087 0.096,,,,,,0.111 0.121,,,,,,,,
,管,チ,,厨,開,6.0,5.0,,,,,,1.0,.,3.0,,,－,,4.0,.,,－,,,7,.,,,－,,,－,,,－,,,0.0,.,5.0,,,,－,,, ,,,,＋,,,,,,,,,,,,,,,,,,
,,レ,,房,,,,,,,,,,0,,,,,,,5,,,,,,2,,,,,,,,,,,,,5,,,,,,,,材,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,, ,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,雑,,,,,,,,,,,,,,,,,,
,,,,,放,,,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,料,,,,,,,,,,,,,,,,,,,,,,
、,,ン,,の,廊,8.0,0.0,,,,,,1.0,,3.0,,,,,,,,－,,,8,,,,,,,,,,,,,,,,,,,－,,,費,,,,材,,,,,,,,,,,,,,,,,,式
 ,,,,,,,,,,,,,,.,,,,－,,4.0,.,,,,,,.,,,－,,,－,,,－,,,0.0,.,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
排,,フ,,天,,,,,,,,,,0,,,,,,,7,,,,,,0,,,,,,,,,,,,,6,,,,,,,,,,,,料,,,,,,,,,,,,,,,,,,
水,, ,,,下,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,,,,,,,,,,,,,,,,,,,
管,,,,井,を,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,費,,,,0.127 0.150,,,,,,0.150 0.170,,,,,,,,
,,,,内,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,5.0,),,,,,,,,,,,,,,,,,,
,,,,,含,1.0,0.0,0.0,,,,,,－,,,1.0,.,3.0,5.0,.,,－,,,1,1,,,－,,,－,,,－,,,0.0,.,5.0,,,,－,,,.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
,,ム,,は,,,,,,,,,,,,,,0,,,4,,,,,,0,,,,,,,,,,,,,7,,,,,,,,),,,, ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,む,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,,,,,,,,,,,,,,,
,,,,含, ,1.0,2.0,5.0,,,,,,－,,,,,,,,,－,,, ,,,,,,,,,,,,,,,,,,,－,,,,,,, ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,3.0,,,,,,,,,,,,,,,
,,,,ま,,,,,,,,,,,,,1.0,.,3.0,5.0,.,,,,,－,,,9.0,.,,,－,,,－,,,0.0,.,5.0,,,,,,,,,,,.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,な,,,,,,,,,,,,,,0,,,9,,,,,,,,,6,,,,,,,,,,8,,,,,,,,,,,,),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,い,及,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.169 0.218 0.289,,,,,,0.191 0.233 0.276,,,,,,,,
,,,,,び,1.0,5.0,0.0,,,,,,－,,,1.0,.,3.0,6.0,.,,－,,,,－,,1.0,0,.,,－,,,－,,,0.0,.,,,,,－,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,浴,,,,,,,,,,,,,0,,,4,,,,,,,,,,8,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,室,,,,,,,,,－,,,,,,,,,－,,,,－,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2.0,0.0,0.0,,,,,,,,,1.0,.,3.0,7.0,.,,,,,,,,,－,,9.0,.,,,－,,,,－,,,,1.0,.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0,,,1,,,,,,,,,,,,9,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,－,,,,,,,,,－,,,,－,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2.0,5.0,0.0,,,,,,,,,1.0,.,3.0,8.0,.,,,,,,,,,－,,1.0,1,.,,－,,,,－,,,,1.0,.,6.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0,,,1,,,,,,,,,,,,,7,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3.0,0.0,0.0,,,,,,－,,,1.0,.,3.0,8.0,.,,－,,,,－,,,－,,,－,,1.0,0,.,,,－,,,,1.0,.,6.0,,,,,,,,,,,,0.0,.,7.0,1.0,,,0,.,1.0,5.0,,,
,,,,,,,,,,,,,,,,,,0,,,9,,,,,,,,,,,,,,,,9,,,,,,,,5,,,,,,,,,,,,,,3,,,,,,3,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(注)　1.　「その他」の率対象は、材料、雑材料、運搬費、保温工及びダクト工とする。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
