Unnamed: 0,Unnamed: 1,配管保温(ポリスチレンフォーム) 　ブライン管(2/7),Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81
,,,,,,,,,,径,,,,,,,,40厚 50厚 65厚,,,,,,,,,100幅,,,,,,,125幅 150幅 200幅,,,,,,,,,,250幅 40厚用 50厚用 65厚用,,,,,,,,,,,,,,料,,,,,費,,,,,,,,,,他,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,［人］,,,,,,,,,,［人］,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,5.0,,,,,,,1,.,,,－,,,－,,,,4.0,.,,8.0,.,,,－,,,－,,,－,,,,－,,1.0,.,5.0,,－,,,－,,,,,,,,,,,,0.0,.,7.0,6.0,,,,0.0,.,,3.0,6.0,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2025.0,,,,,,,,,1, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.079 0.083,,,,,,,,0.037 0.039,,,,,,,,
,,,,,,,,,,,,,,,,,,,3,,,－,,,－,,,,4.0,.,,8.0,.,,,－,,,－,,,－,,,,－,,1.0,.,5.0,,－,,,－,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,3,,,5,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,－,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,.,,,－,,,－,,,,4.0,.,,9.0,.,,,－,,,－,,,－,,,,－,,1.0,.,5.0,,－,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,4,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,32.0,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.102,,,,,,,,0.049,,,,,,,,
,,,,,,,,,,,,,,,,,,,－,,1.0,.,3.0,,－,,,,5.0,.,,,－,,8.0,.,,,－,,,－,,,,－,,,－,,1.0,.,5.0,,－,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,3,,,,,,8,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,１,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,式,,,,0.11,,,,,,,,0.05,,,,,,,,
,,,,,,,,,,,,,,,,,,,－,,1.0,.,3.0,,－,,,,5.0,.,,,－,,9.0,.,,,－,,,－,,,,－,,,－,,1.0,.,5.0,,－,,,,,,(,,,,,,,,,,,,,,,,,,,,
,,,,,,,屋,,,,,,,,,,,,,,,0,,,,,,,,5,,,,,,3,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(,,,,,,,,,,,,,,,,,,,,
,,,,,ポ,,内,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,－,,,－,,,,,,,,,,,, ,,,,0.12,,,,,,,,0.054,,,,,,,,
,,,,,,,露,,,,,,,,,,,,－,,1.0,.,3.0,,－,,,,5.0,.,,,－,,9.0,.,,,－,,,－,,,,,,,,,1.0,.,5.0,,－,,１,,,,材,,,,,,,,,,,,,,,,,,,,
,,,,,リ,,,,,,,,,,,,,,,,,0,,,,,,,,6,,,,,,9,,,,,,,,,,,,,,,,0,,,,,,,,,料,,,,,,,,,,,,,,,,,,,,
,,,,,,,出,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,式,,,,,,,,,,,,,,,,,,,,,,,,
,ブ,,,,ス,,,,6580.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,－,,,－,,,,－,,,－,,,,,,,,(,,,,費,,,,0.135 0.148,,,,,,,,0.059 0.063,,,,,,,,
,ラ,,,,チ,一,,,,,,,,,,,,,－,,1.0,.,3.0,,－,,,,5.0,.,,,－,,1.0,0,.,,,,,,,,,,,,,,1.0,.,5.0,,－,, ,,,,＋,,,,,,,,,,,,,,,,,,,,
,,,,,レ,,,,,,,,,,,,,,,,,0,,,,,,,,9,,,,,,,7,,,,,,,,,,,,,,,0,,,,,材,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,雑,,,,,,,,,,,,,,,,,,,,1
,イ,,,,ン,般,,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,－,,料,,,,材,,,,,,,,,,,,,,,,,,,,式
,ン,,,,,居,,,,,,,,,,,,,－,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,費,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,フ,,,,,,,,,,,,,,,,1.0,.,3.0,,－,,,,6.0,.,,,－,,,－,,9.0,.,,,－,,,,－,,,－,,1.0,.,5.0,,,,,,,,料,,,,,,,,,,,,,,,,,,,,
,管,,,,,室,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,6,,,,,,,,,,,,,0,,,,,×,,,,,,,,,,,,,,,,,,,,,,,,
,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,、,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,費,,,,0.180 0.216,,,,,,,,0.071 0.080,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,5.0,),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,－,,,－,,1.0,.,3.0,,,7.0,.,,,－,,,－,,1.0,2,.,,－,,,,－,,,－,,,－,,1.0,.,5.0,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ム,廊,,,,,,,,,,,,,,,,,,,0,,,,,4,,,,,,,,,,3,,,,,,,,,,,,,,,0,,),,,, ,,,,,,,,,,,,,,,,,,,,
,,,,,,下,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,×,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,, ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,－,,,－,,1.0,.,3.0,,,7.0,.,,,－,,,－,,1.0,3,.,,－,,,,－,,,－,,,－,,,.,5.0,,,,,.,,,3.0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,7,,,,,,,,,,5,,,,,,,,,,,,,,,0,,,,,,),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,－,,,,,,,,,,,,,0.249 0.286 0.385,,,,,,,,0.088 0.103 0.125,,,,,,,,
,,,,,,,,,,1,5.0,0.0,,,,,,,－,,,－,,1.0,.,3.0,,,8.0,.,,,－,,,－,,1.0,4,.,,－,,,,－,,,－,,,,,1.0,.,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,2,,,,,,,,,,6,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,－,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,2,0.0,0.0,,,,,,,－,,,－,,1.0,.,3.0,,,9.0,.,,,－,,,－,,,－,,1.0,,.,,,－,,,－,,,,,,.,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,2.0,,9,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,－,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,2,5.0,0.0,,,,,,,－,,,－,,1.0,.,3.0,,,9.0,.,,,－,,,－,,,－,,1.0,,.,,,－,,,－,,,,,,.,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,7,,,,,,,,,,,4.0,,7,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,－,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,3,0.0,0.0,,,,,,,－,,,－,,1.0,.,3.0,,1.0,0.0,,.,,－,,,－,,,－,,,－,,,1.0,3,.,,－,,,,,1.0,.,5.0,,,,,,,,,,,0.0,.,4.0,5.0,,,,0.0,.,,4.0,2.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,6,,,,,,,,,,,,,,,,3,,,,,,,,0,,,,,,,,,,,,,4,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(注)　1.　「その他」の率対象は、材料、雑材料、運搬費、保温工及びダクト工とする。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
