Unnamed: 0,Unnamed: 1,Unnamed: 2,配管保温(ポリスチレンフォーム) 　給水管、排水管(4/8),Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54
,,,,,,,,,2.0,0.0,,,,,,,,－,,,,,,,,,,,,－,,－,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,.,,,,,,3.0,.,,4,.,,－,,,,,,,,,,,,,,,,,,,0,,0.0,6.0,5.0,,,,
,,,,,,,,,,,,,,,0,,,,,,,6,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,3,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1, ,,,,,,,,,,,,,,,－,,,,,,,,,,,,,,,,0,,0.0,7.0,2.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2.0,5.0,,,,,.,,,－,,,3.0,.,,－,,,3,,,,,－,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0,,,,,,,7,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,3,,,,,,,,,,,,6,,,,, ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,,,,－,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0,7.0,6.0,,,,
,,,,,,,,,3.0,2.0,,,,,3,,,,,,3.0,.,,－,,,4,,,－,,－,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,.,,,,,,,9,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,天,,,,,,,,0,,,,,,,,,,,,0,,, ,, ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,井,,4.0,0.0,,,,1, ,,,－,,,,,,－,,, ,,,,,,,,,,,,１,,,,,,,0,,0.0,8.0,2.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,式,,,,,,,,,,,,,,,
,,,,,,,内,,,,,,,,.,,,,,,4.0,.,,,,,4,,,－,,－,,,,,,,(,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0,,,,,,,0,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,3,,,,,,, ,,,,,3,,, ,, ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,、,,,,,,,, ,,,,,,,,,,,, ,,,,,,,,,,,,(,,,,,,,,,,,,,,,
,,,,,,ポ, ,,5.0,0.0,,,,1,,,,－,,,4.0,,,－,,,,,,,,,,,,,,, ,,,,,,,0,,0.0,9.0,0.0,,,,
,,,,,,,パ,,,,,,,,3,,,,,,,.,,,,,9,,,－,,－,,１,,,,,材,,,,,,,,,,,,,,,
,,,,,,リ,イ,,,,,,,,0,,,,,,,2,,,,,.,,,,,,,,,,,,料,,,,,,,,,,,,,,,
給,,,,,,,,,,,,,,,.,,,,,,, ,,,,,4,,, ,, ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ス,プ,,6.0,5.0,,,,1, ,,,,,,4.0,,,－,,, ,,,,,,,式,,,,,費,,,,,,,0,,0.0,9.0,7.0,,,,
水,,,,,,チ,シ,,,,,,,,.,,,－,,,,5,,,,,－,,,4,,－,,(,,,,,＋,,,,,,,,,,,,,,,
管,,,,,,,,,,,,,,,0,,,,,,,.,,,,,,,,.,,,, ,,,,,,,,,,,,,,,,,,,,
,,,,,,レ,ャ,,,,,,,,3,,, ,,,, ,,,,, ,,,3,, ,,材,,,,,,,,,,,,,,,,,,,,1
、,,,,,,ン, ,,8.0,0.0,,m,,1, ,,,,,,4.0,,,－,,,,,, ,,,,料,,,,,雑,,,,,,,0,,1.0,0.0,7.0,,,,式
 ,,,,,,,フ,,,,,,,,3,,,－,,,,.,,,,,－,,,8,,－,,費,,,,,材,,,,,,,,,,,,,,,
排,,,,,,フ,ト,,,,,,,,0,,,,,,,7,,,,,,,,.,,,,,,,,,料,,,,,,,,,,,,,,,
水,,,,,,,,,,,,,,,.,,, ,,,, ,,,,, ,,,4,, ,,×,,,,,,,,,,,,,,,,,,,,
管,,,,,, ,内,,,,,,,, ,,,,,,5.0,,,－,,,,,, ,,,, ,,,,,費,,,,,,,0,,1.0,4.0,2.0,,,,
,,,,,,,及,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,5.0,),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1.0,0.0,0.0,,,,－,,1.0,.,,,,.,,,,,－,,,6,,－,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,ム,び,,,,,,,,,,,0,,,,4,,,,,,,,.,,,,),,,,, ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,, ,,,3,,,,,,,,, ,,,0,, ,,,,,,,×,,,,,,,,,,,,,,,
,,,,,,,空,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,, ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,－,,,,,,,,,,,,,,,0,,,,3.0,,,0,,1.0,6.0,7.0,,,,
,,,,,,,隙,,1.0,2.0,5.0,,,,－,,1.0,.,3.0,,5.0,.,,,,,－,,,－,,5,,,,,,,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0,,,,9,,,,,,,,,,.,,,,,,,),,,,,,,,,,,,,,,
,,,,,,,壁,,,,,,,, ,,,,,,,,,,,, ,,, ,,7,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,中,,,,,,,,,,,,,,,,,－,,,,,,,, ,,,,,,,,,,,,,,0,,1.0,8.0,9.0,,,,
,,,,,,,,,1.0,5.0,0.0,,,,－,,1.0,.,3.0,,6.0,.,,,,,－,,,－,,6,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0,,,,4,,,,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,, ,,,,,,,,,,,, ,,, ,,4,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,－,,,,,,,,,,,,,,,,,,,,,,0,,2.0,4.0,5.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2.0,0.0,0.0,,,,－,,1.0,.,3.0,,7.0,.,,,,,－,,,－,,8,.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0,,,,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,, ,,,,,,,,,,,, ,,, ,, , ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,3.0,2.0,4.0,,,,
,,,,,,,,,2.0,5.0,0.0,,,,－,,1.0,.,3.0,,8.0,.,,－,,,－,,,－,,9,.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0,,,,1,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,, ,,, ,,,, ,,,,, ,,, ,, , ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1.0,,3.0,,8.0,,,－,,,,,,,,,,,,,,,,,,,,,,0,,4.0,1.0,6.0,,,,
,,,,,,,,,3.0,0.0,0.0,,,,－,,,.,,,,.,,,,,－,,,－,,1,.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0,,,,9,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(注)　1.　「その他」の率対象は、材料、雑材料、運搬費及び保温工とする。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,- ＲM 7 -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
