Unnamed: 0,表ＲＭ－１－９【市】,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79
,,,,,,,,,位,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,［ｍ２］,,,,,,,,,,,,,,,,,,,,,,,,,,工,,,,,,,
,,,,,,,,,,,径,,,,,,,30厚,,,40厚 50厚,,,,,,,,100幅 125幅 150幅 200幅 250幅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,他,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,［人］,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,5.0,,,,,,1,.,5,,－,,,,－,,,,6,5.0,,－,,,,－,,－,,,,,－,,,0.0,.,2.0,,1.0,2.0,,,,,,,,,,,,,0,.,6.0,0.0,,,,0,.,2.0,6.0,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,, ,,,,,,
,,,,,,,,,,,2,0.0,,,,,,,,,,,,,,－,,,,,,,,,,,－,,－,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,4.0,,,,0,,2.0,7.0,,,,
,,,,,,,,,,,,,,,,,,1,.,5,,－,,,,,,,,6,9.0,,－,,,,,,,,,,,－,,,0.0,.,4.0,,1.0,2.0,,,,,,,,,,,,,,.,6.0,,,,,,.,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,, ,,,,,,
,,,,,,,,,,,2,5.0,,,,,,,,,,,,,,－,,,,,,,,,,,－,,－,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,8.0,,,,0,,2.0,9.0,,,,
,,,,,,,,,,,,,,,,,,1,.,5,,－,,,,,,,,7,4.0,,－,,,,,,,,,,,－,,,0.0,.,7.0,,1.0,2.0,,,,,,,,,,,,,,.,6.0,,,,,,.,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,, ,,,,,,
冷,,,,,,,,,,,3,2.0,,,,,,,,,,,,,,－,,,,,,,,,,,－,,－,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,8.0,,,,0,,3.0,5.0,,,,
水,,,,,,,,,,,,,,,,,,,－,,1,.,5.0,,,,,,,－,,,7,.,,,,,,,,,,－,,,0.0,.,8.0,,1.0,2.0,,,,,,,,,,,,,,.,7.0,,,,,,.,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,6,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,１,,,,,,,, ,,,,,,, ,,,,,,
・,,,,,,,,,,,4,0.0,,,,,,,,,,,,,,－,,,,,,,,,,,－,,－,,,,,,,,,,,,,,,,,,,式,,,,,,,0,,,4.0,,,,0,,3.0,6.0,,,,
冷,,,,,,,,,,,,,,,,,,,－,,1,.,5.0,,,,,,,－,,,8,.,,,,,,,,,,－,,,0.0,.,0.0,,1.0,2.0,,,,,,(,,,,,,,,.,8.0,,,,,,.,,,,,,
温,,,,,,,屋,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(,,,,,,,, ,,,,,,, ,,,,,,
水,,,,,,,内,,,,5,0.0,,,,,,,,,,,,,,－,,,,,,,,,,,－,,－,,,,,,,,,,,,,,,,,,, ,,,,,,,0,,,1.0,,,,0,,3.0,9.0,,,,
管,,,,,,,露,,,,,,,,,,,,－,,1,.,5.0,,,,,,,－,,,8,.,,,,,,,,,,－,,,0.0,.,5.0,,1.0,2.0,１,,,,,材,,,,,,,,.,9.0,,,,,,.,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,7,,,,,,,,,,,,,,6,,,,,,,,,,料,,,,,,,,0,,,,,,,0,,,,,,
(,,,,,,,出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,式,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,ロ, ,,,,,,,,,,,,,,,,,－ －,,,,,－ 9.5 －－,,,,,,,－－ 8.6 －,,,,,,,,,,,,,,,,,(,,,,,費,,,,,0.098 0.108,,,,,,,0.043 0.046,,,,,,,,,
膨,,,,,, ,,,,,6,5.0,,,,,,,－,,1,.,5.0,,,,,,,,,,,,,,,,,,,,,－,,,0.0,.,1.0,,1.0,2.0,,,,,,＋,,,,,,,,,,,,,,,,,,,,,
張,,,,,,,一,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,材,,,,,雑,,,,,,,,,,,,,,,,,,,,,1
管,,,,,,ウ,般,,,,8,0.0,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,料,,,,,材,,,,,,,,,,,,,,,,,,,,,式
を,,,,,,,居,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,,,－,,1,.,5.0,,,,,,,,,,,,,,,,,,,,,－,,,0.0,.,6.0,,1.0,2.0,,,,,,料,,,,,,,,,,,,,,,,,,,,,
含,,,,,,,室,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,×,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
む,,,,,,ル,、,,,,,,,,,,,,,,,,,－ －,,,,,－－ －－,,,,,,,9.8 － 11.0 －,,,,,,,,,,,,,,,,, ,,,,,費,,,,,0.141 0.161,,,,,,,0.052 0.059,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,5.0,),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,0.0,0.0,,,,,,－,,1,.,5.0,,,,,,,,,,,,,,,,,,,,,－,,,0.0,.,6.0,,1.0,2.0,.,,,,,,,,,,,,,,,,,,,,,,,,,,
。,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,廊,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,),,,,, ,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,下,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,,,,,,,,,,,,,,,,,,
),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,3.0,,,,,,,,,,,,,,,,,
及,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,,,,,,,,,,,,,,,
び,,,,,,,,,,,1,2.0,5.0,,,,,,－,,1,.,5.0,,,,,,,,,,,,,,,,,,,,,－,,,0.0,.,7.0,,1.0,2.0,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
冷,,,,,,,,,,,,,,,,,,,,,,,,－ －,,,,,－－ －－,,,,,,,12.2 － － 11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.186 0.201,,,,,,,0.065 0.077,,,,,,,,,
媒,,,,,,,,,,,1,5.0,0.0,,,,,,－,,1,.,5.0,,,,,,,,,,,,,,,,,,,,,－,,,1.0,.,7.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
管,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,2,0.0,0.0,,,,,,－,,1,.,5.0,,,,,,,,,,,,,,,,,,,,,－,,,1.0,.,7.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,2,5.0,0.0,,,,,,－,,,－,,,1.0,.,5,,,－,,,－,,,,－,1.0,3,.,,,,－,,,1.0,.,0.0,,1.0,2.0,,,,,,,,,,,,,0,.,9.0,8.0,,,,0,.,9.0,4.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,6,,,,,,,,6,,,,,,,,,,,,,,,,,,2,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,, ,,,,,,
,,,,,,,,,,,,,,,,,,,－,,,－,,,1.0,,,,,－,,,－,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,9.0,,,,0,,0.0,7.0,,,,
,,,,,,,,,,,3,0.0,0.0,,,,,,,,,,,,,.,5,,,,,,,,,,－,,－,,,,1.0,2,.,,1.0,.,1.0,,1.0,2.0,,,,,,,,,,,,,,.,6.0,,,,,,.,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,4,,,8,,,,,,,,,,,,,,,,,,3,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(注)　1.　「その他」の率対象は、材料、雑材料、運搬費、保温工及びダクト工とする。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
